ds,Proyecto,Cliente,Servicio,Ingresos,HorasFacturadas,CosteEquipo,MargenBruto,margen_pct,Seniority,Satisfaccion,year,month,quarter
2025-01-01,Data Lake Retail,El Corte Inglés,Big Data,38967,288,25396,13571,34.826904816896345,Junior,94,2025,1,1
2025-01-01,Apache NiFi Pipeline,Telefónica,Big Data,21954,157,13461,8493,38.68543317846406,SemiSenior,93,2025,1,1
2025-01-01,Cloud Migration AWS,Mapfre,Cloud,29268,210,19018,10250,35.02118354516878,Junior,95,2025,1,1
2025-01-01,Fraud Detection,BBVA,IA,39413,288,23944,15469,39.24847131657068,SemiSenior,85,2025,1,1
2025-01-01,IA Documental,Ministerio Justicia,IA,29622,212,18441,11181,37.745594490581325,Junior,79,2025,1,1
2025-01-01,KloudAnalytics Migration,Iberdrola,Cloud,34086,251,20391,13695,40.177785601126565,Junior,75,2025,1,1
2025-01-01,Kloudoop On-Premise,Santander GlobalTech,Big Data,41732,304,25147,16585,39.741685037860634,Junior,89,2025,1,1
2025-01-01,Smart Medical Codex,Grupo Hospitales Madrid,IA,37828,269,22592,15236,40.277043459870995,Junior,72,2025,1,1
2025-02-01,Smart Medical Codex,Grupo Hospitales Madrid,IA,41583,296,25796,15787,37.96503378784599,Senior,71,2025,2,1
2025-02-01,Kloudoop On-Premise,Santander GlobalTech,Big Data,44532,324,29909,14623,32.837060989849995,SemiSenior,90,2025,2,1
2025-02-01,KloudAnalytics Migration,Iberdrola,Cloud,31826,235,19252,12574,39.508577892289324,Senior,88,2025,2,1
2025-02-01,IA Documental,Ministerio Justicia,IA,35029,250,22202,12827,36.61823060892404,Junior,78,2025,2,1
2025-02-01,Fraud Detection,BBVA,IA,45506,333,27570,17936,39.414582692392216,SemiSenior,78,2025,2,1
2025-02-01,Data Lake Retail,El Corte Inglés,Big Data,35350,261,23363,11987,33.909476661951906,Junior,80,2025,2,1
2025-02-01,Cloud Migration AWS,Mapfre,Cloud,29577,213,17412,12165,41.12993204178923,Junior,93,2025,2,1
2025-02-01,Apache NiFi Pipeline,Telefónica,Big Data,25646,183,15873,9773,38.107307182406615,Junior,94,2025,2,1
2025-03-01,Data Lake Retail,El Corte Inglés,Big Data,35981,266,24136,11845,32.92015230260415,SemiSenior,81,2025,3,1
2025-03-01,IA Documental,Ministerio Justicia,IA,31009,221,18377,12632,40.736560353445775,Junior,76,2025,3,1
2025-03-01,Fraud Detection,BBVA,IA,44078,322,27485,16593,37.644629974136755,SemiSenior,82,2025,3,1
2025-03-01,Kloudoop On-Premise,Santander GlobalTech,Big Data,51363,374,33478,17885,34.82078539026147,Junior,83,2025,3,1
2025-03-01,Cloud Migration AWS,Mapfre,Cloud,26944,194,17178,9766,36.24554631828978,Senior,75,2025,3,1
2025-03-01,Apache NiFi Pipeline,Telefónica,Big Data,23766,170,15967,7799,32.815787259109655,SemiSenior,93,2025,3,1
2025-03-01,KloudAnalytics Migration,Iberdrola,Cloud,38825,286,23270,15555,40.06439150032195,Senior,93,2025,3,1
2025-03-01,Smart Medical Codex,Grupo Hospitales Madrid,IA,41606,296,27340,14266,34.288323799452,SemiSenior,80,2025,3,1
2025-04-01,Apache NiFi Pipeline,Telefónica,Big Data,27184,194,16684,10500,38.62566215420836,SemiSenior,84,2025,4,2
2025-04-01,Kloudoop On-Premise,Santander GlobalTech,Big Data,50012,364,31784,18228,36.44725265936175,Junior,76,2025,4,2
2025-04-01,KloudAnalytics Migration,Iberdrola,Cloud,40067,295,24574,15493,38.66773154965433,SemiSenior,78,2025,4,2
2025-04-01,IA Documental,Ministerio Justicia,IA,37634,269,23634,14000,37.20040389009937,Junior,85,2025,4,2
2025-04-01,Fraud Detection,BBVA,IA,46708,341,30337,16371,35.049670292027066,Junior,70,2025,4,2
2025-04-01,Data Lake Retail,El Corte Inglés,Big Data,46767,345,30130,16637,35.57422969187675,Senior,88,2025,4,2
2025-04-01,Cloud Migration AWS,Mapfre,Cloud,29789,214,19625,10164,34.1199771727819,SemiSenior,73,2025,4,2
2025-04-01,Smart Medical Codex,Grupo Hospitales Madrid,IA,41817,297,24939,16878,40.36157543582753,SemiSenior,76,2025,4,2
2025-05-01,IA Documental,Ministerio Justicia,IA,38133,272,24770,13363,35.04313848897281,Senior,83,2025,5,2
2025-05-01,Smart Medical Codex,Grupo Hospitales Madrid,IA,51625,367,33875,17750,34.38256658595641,Junior,94,2025,5,2
2025-05-01,Kloudoop On-Premise,Santander GlobalTech,Big Data,58048,422,35228,22820,39.31229327453142,Senior,88,2025,5,2
2025-05-01,KloudAnalytics Migration,Iberdrola,Cloud,35413,261,22837,12576,35.512382458419225,SemiSenior,90,2025,5,2
2025-05-01,Apache NiFi Pipeline,Telefónica,Big Data,28026,200,17599,10427,37.20473845714694,Junior,95,2025,5,2
2025-05-01,Cloud Migration AWS,Mapfre,Cloud,30687,221,19039,11648,37.95744126177208,Senior,90,2025,5,2
2025-05-01,Data Lake Retail,El Corte Inglés,Big Data,47831,353,29933,17898,37.41924693190609,SemiSenior,83,2025,5,2
2025-05-01,Fraud Detection,BBVA,IA,60474,442,38839,21635,35.77570526176539,Senior,83,2025,5,2
2025-06-01,Fraud Detection,BBVA,IA,62310,455,41727,20583,33.033220991815114,Senior,77,2025,6,2
2025-06-01,Data Lake Retail,El Corte Inglés,Big Data,42597,314,25927,16670,39.13421132943635,Senior,72,2025,6,2
2025-06-01,Cloud Migration AWS,Mapfre,Cloud,32920,237,20134,12786,38.839611178614824,SemiSenior,85,2025,6,2
2025-06-01,Apache NiFi Pipeline,Telefónica,Big Data,33286,238,20591,12695,38.13915760379739,SemiSenior,75,2025,6,2
2025-06-01,IA Documental,Ministerio Justicia,IA,39485,282,25749,13736,34.78789413701406,Junior,81,2025,6,2
2025-06-01,KloudAnalytics Migration,Iberdrola,Cloud,38507,284,25747,12760,33.13683226426364,SemiSenior,80,2025,6,2
2025-06-01,Kloudoop On-Premise,Santander GlobalTech,Big Data,65189,474,40399,24790,38.027888140637224,Senior,88,2025,6,2
2025-06-01,Smart Medical Codex,Grupo Hospitales Madrid,IA,52648,374,32189,20459,38.859975687585475,SemiSenior,70,2025,6,2
2025-07-01,KloudAnalytics Migration,Iberdrola,Cloud,38806,286,24153,14653,37.75962480028861,SemiSenior,94,2025,7,3
2025-07-01,Fraud Detection,BBVA,IA,52526,384,33810,18716,35.63187754635799,Junior,90,2025,7,3
2025-07-01,Data Lake Retail,El Corte Inglés,Big Data,37394,276,24668,12726,34.032197678772,SemiSenior,76,2025,7,3
2025-07-01,Cloud Migration AWS,Mapfre,Cloud,33155,238,21904,11251,33.934549841652846,SemiSenior,92,2025,7,3
2025-07-01,Apache NiFi Pipeline,Telefónica,Big Data,25688,183,15798,9890,38.500467144191845,Senior,86,2025,7,3
2025-07-01,Kloudoop On-Premise,Santander GlobalTech,Big Data,59682,434,37970,21712,36.379477899534194,Junior,79,2025,7,3
2025-07-01,Smart Medical Codex,Grupo Hospitales Madrid,IA,46324,329,29670,16654,35.95112684569553,Senior,82,2025,7,3
2025-07-01,IA Documental,Ministerio Justicia,IA,31857,228,20707,11150,35.00015695137647,SemiSenior,78,2025,7,3
2025-08-01,Smart Medical Codex,Grupo Hospitales Madrid,IA,30726,218,20184,10542,34.30970513571568,Junior,81,2025,8,3
2025-08-01,Kloudoop On-Premise,Santander GlobalTech,Big Data,34154,248,22213,11941,34.962229899865314,Senior,72,2025,8,3
